dbname,schema,tableName,columnName,columnType,algo,algoProps
ec_oms,,ec_oms_plat_order_encrypt_data,address_decrypted,varchar,,
ec_oms,,ec_oms_plat_order_encrypt_data,receiver_name_decrypted,varchar,,
ec_oms,,ec_oms_plat_order_encrypt_data,receiver_mobile_decrypted,varchar,,
ec_oms,,ec_oms_order_import,receiver_name,varchar,,
ec_oms,,ec_oms_order_import,receiver_mobile,varchar,,
ec_oms,,ec_oms_order_import,address,varchar,,
ec_oms,,ec_oms_invoice,buyer_bank_account,varchar,,
ec_oms,,ec_oms_invoice,buyer_address,varchar,,
ec_oms,,ec_oms_invoice,invoice_receiver_phone,varchar,,
ec_oms,,ec_oms_invoice,invoice_receiver_address,varchar,,
ec_oms,,ec_oms_invoice,invoice_receiver,varchar,,
ec_oms,,ec_oms_plat_order_decrypt_data,address_decrypted,varchar,,
ec_oms,,ec_oms_plat_order_decrypt_data,receiver_name_decrypted,varchar,,
ec_oms,,ec_oms_plat_order_decrypt_data,receiver_mobile_decrypted,varchar,,
ec_oms,,ec_oms_sms_management_sub,phone_number,varchar,,
ec_oms,,ec_oms_sms_management_sub,receive_name,varchar,,
ec_oms,,ec_oms_plat_tmall_presale_order,address,varchar,,
ec_oms,,ec_oms_plat_tmall_presale_order,receiver_name,varchar,,
ec_oms,,ec_oms_plat_tmall_presale_order,receiver_mobile,varchar,,
ec_oms,,ec_oms_sms_management,phone_number,varchar,,
ec_oms,,ec_oms_sms_management,receive_name,varchar,,
ec_oms,,ec_oms_plat_address_modify_record,address,varchar,,
ec_oms,,ec_oms_plat_address_modify_record,receiver_name,varchar,,
ec_oms,,ec_oms_plat_address_modify_record,receiver_phone,varchar,,
ec_oms,,ec_oms_exc_reissue_order,receiver_name,varchar,,
ec_oms,,ec_oms_exc_reissue_order,address,varchar,,
ec_oms,,ec_oms_exc_reissue_order,receiver_mobile,varchar,,
ec_oms,,ec_oms_address_modify_record,address,varchar,,
ec_oms,,ec_oms_address_modify_record,receiver_name,varchar,,
ec_oms,,ec_oms_address_modify_record,receiver_mobile,varchar,,
ec_oms,,ec_oms_address_clean_record,address,varchar,,
ec_oms,,oms_b2b_oper_client_base,client_name,varchar,,
ec_oms,,oms_b2b_oper_client_base,mobile_phone,bigint,,
ec_oms,,oms_b2b_oper_client_base,company_address,varchar,,
ec_oms,,oms_b2b_oper_client_base,charge_phone,varchar,,
ec_oms,,oms_b2b_oper_client_base,invoice_account,varchar,,
ec_oms,,oms_b2b_oper_client_base,receive_invoice_name,varchar,,
ec_oms,,oms_b2b_oper_client_base,receive_invoice_phone,varchar,,
ec_oms,,oms_b2b_oper_client_base,receive_invoice_address,varchar,,
ec_oms,,oms_b2b_oper_client_account,account_card,varchar,,
ec_oms,,ec_oms_self_help_query_log,receiver_mobile,varchar,,
ec_oms,,sys_user,mobile,varchar,,
ec_oms,,oms_b2b_client_storehouse,charge_phone,varchar,,
ec_oms,,ec_oms_exc_offline_refund_order,account,varchar,,
ec_oms,,ec_oms_exc_offline_refund_order,account_name,varchar,,
ec_oms,,ec_oms_channel_shop_base,shop_password,varchar,,
ec_oms,,ec_oms_channel_shop_base,shop_phone_number,varchar,,
ec_oms,,oms_b2b_client_distri_channel_charge,charge_phone,varchar,,
